ID_LOC	MEAS_DATE	MEAS_TIME	SITE	SITE_PLOT	PAI_DEVICE_LAB	PAI_DEVICE_TYPE	PAI_MEAS_TYPE	ID_MEAS	PAI	GAP1	GAP2	GAP3	GAP4	GAP5	BAD_READINGS
PSL_5_MEAS19	20210719	21:48:16	PSL	5	CEFE	LICOR_LAI2200	BELOW	19	3.45109	0.15697	0.200997	0.0870684	0.0318032	0.0243324	NA
PSL_5_MEAS13	20210719	21:48:39	PSL	5	CEFE	LICOR_LAI2200	BELOW	13	3.22794	0.0925627	0.103845	0.0879144	0.0838515	0.0339034	NA
PSL_5_MEAS1	20210830	20:28:01	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	1	1.92765	0.187381	0.207918	0.229019	0.240434	0.168747	NA
PSL_5_MEAS3	20210830	20:28:22	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	3	0.76522	0.969733	0.964685	0.86237	0.486626	0.164615	NA
PSL_5_MEAS5	20210830	20:28:46	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	5	2.06033	0.0997223	0.178502	0.274199	0.190139	0.156338	NA
PSL_5_MEAS15	20210830	20:29:26	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	15	2.42694	0.115835	0.15281	0.173817	0.134387	0.115585	NA
PSL_5_MEAS25	20210830	20:29:55	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	25	1.68972	0.237953	0.344933	0.450274	0.257449	0.0966441	NA
PSL_5_MEAS23	20210830	20:30:24	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	23	1.84302	0.405208	0.377899	0.339023	0.214109	0.0747873	NA
PSL_5_MEAS21	20210830	20:30:44	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	21	2.79294	0.170968	0.156389	0.19331	0.0829101	0.0400069	NA
PSL_5_MEAS11	20210830	20:31:52	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	11	2.84918	0.0549958	0.14019	0.140938	0.0905456	0.0672474	NA
PSL_5_MEAS9	20210830	20:32:40	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	9	2.15392	0.391291	0.371236	0.2165	0.139675	0.0709981	NA
PSL_5_MEAS7	20210830	20:33:10	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	7	1.71163	0.282974	0.240245	0.35755	0.288751	0.134762	NA
PSL_5_MEAS17	20210830	20:33:56	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	17	2.08483	0.357793	0.326111	0.2615	0.15947	0.0715186	NA
PSL_5_MEAS19	20210830	20:35:24	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	19	2.36001	0.417843	0.504206	0.204202	0.0683359	0.0663439	NA
PSL_5_MEAS13	20210830	20:35:47	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	13	2.16407	0.307541	0.220983	0.152409	0.21081	0.106134	NA
PSL_5_MEAS1	20211027	19:00:31	PSL	5	CEFE	LICOR_LAI2200	BELOW	1	1.85389	0.235562	0.250252	0.269669	0.241397	0.142608	NA
PSL_5_MEAS3	20211027	19:00:51	PSL	5	CEFE	LICOR_LAI2200	BELOW	3	0.796811	0.954891	0.97165	0.785893	0.482168	0.164882	NA
PSL_5_MEAS5	20211027	19:01:10	PSL	5	CEFE	LICOR_LAI2200	BELOW	5	2.36158	0.0820372	0.172315	0.101795	0.18006	0.193979	NA
PSL_5_MEAS15	20211027	19:01:35	PSL	5	CEFE	LICOR_LAI2200	BELOW	15	1.9201	0.137151	0.317277	0.230852	0.201938	0.161721	NA
PSL_5_MEAS25	20211027	19:02:03	PSL	5	CEFE	LICOR_LAI2200	BELOW	25	1.67287	0.211022	0.294603	0.365817	0.311639	0.124235	NA
PSL_5_MEAS23	20211027	19:04:10	PSL	5	CEFE	LICOR_LAI2200	BELOW	23	1.98008	0.141147	0.137593	0.205183	0.289671	0.197616	NA
PSL_5_MEAS21	20211027	19:04:34	PSL	5	CEFE	LICOR_LAI2200	BELOW	21	1.49784	0.383408	0.515247	0.368873	0.266805	0.147351	NA
PSL_5_MEAS11	20211027	19:05:00	PSL	5	CEFE	LICOR_LAI2200	BELOW	11	1.92813	0.336913	0.312692	0.267279	0.207499	0.0954266	NA
PSL_5_MEAS9	20211027	19:05:21	PSL	5	CEFE	LICOR_LAI2200	BELOW	9	1.95905	0.423622	0.309469	0.261166	0.164324	0.112603	NA
PSL_5_MEAS7	20211027	19:06:17	PSL	5	CEFE	LICOR_LAI2200	BELOW	7	1.94314	0.127133	0.187494	0.235204	0.264919	0.167897	NA
PSL_5_MEAS17	20211027	19:06:40	PSL	5	CEFE	LICOR_LAI2200	BELOW	17	1.55751	0.283614	0.295879	0.328429	0.323249	0.193178	NA
PSL_5_MEAS19	20211027	19:07:06	PSL	5	CEFE	LICOR_LAI2200	BELOW	19	2.19068	0.097076	0.129801	0.256149	0.204422	0.125726	NA
PSL_5_MEAS13	20211027	19:07:26	PSL	5	CEFE	LICOR_LAI2200	BELOW	13	2.04691	0.192472	0.309244	0.214468	0.198097	0.10126	NA
PSL_6_MEAS1	20210607	21:29:03	PSL	6	DYNAFOR	LICOR_LAI2200	BELOW	1	3.01663	0.0219923	0.0740171	0.0764856	0.10511	0.149561	NA
PSL_6_MEAS3	20210607	21:29:48	PSL	6	DYNAFOR	LICOR_LAI2200	BELOW	3	3.81612	0.0543486	0.0336158	0.0554307	0.0441005	0.0498887	NA
PSL_6_MEAS5	20210607	21:30:31	PSL	6	DYNAFOR	LICOR_LAI2200	BELOW	5	3.26568	0.0676093	0.0520567	0.0904626	0.09919	0.0478336	NA
PSL_6_MEAS15	20210607	21:31:22	PSL	6	DYNAFOR	LICOR_LAI2200	BELOW	15	3.21785	0.0673927	0.0754674	0.0957424	0.077432	0.0532355	NA
PSL_6_MEAS25	20210607	21:32:41	PSL	6	DYNAFOR	LICOR_LAI2200	BELOW	25	2.57483	0.14185	0.13123	0.173008	0.127707	0.075282	NA
PSL_6_MEAS23	20210607	21:33:10	PSL	6	DYNAFOR	LICOR_LAI2200	BELOW	23	1.64166	0.414862	0.293564	0.355521	0.241404	0.167437	NA
PSL_6_MEAS21	20210607	21:34:52	PSL	6	DYNAFOR	LICOR_LAI2200	BELOW	21	0.885394	0.847971	0.756029	0.637544	0.435581	0.22916	NA
PSL_6_MEAS11	20210607	21:35:17	PSL	6	DYNAFOR	LICOR_LAI2200	BELOW	11	2.51008	0.162225	0.142629	0.137831	0.115408	0.131438	NA
PSL_6_MEAS9	20210607	21:37:53	PSL	6	DYNAFOR	LICOR_LAI2200	BELOW	9	2.81426	0.13881	0.138029	0.121411	0.0906197	0.0700038	NA
PSL_6_MEAS7	20210607	21:38:48	PSL	6	DYNAFOR	LICOR_LAI2200	BELOW	7	3.56358	0.0744944	0.0505624	0.0687243	0.0651751	0.0369275	NA
PSL_6_MEAS17	20210607	21:39:19	PSL	6	DYNAFOR	LICOR_LAI2200	BELOW	17	2.82681	0.170102	0.13274	0.122021	0.0846475	0.0707352	NA
PSL_6_MEAS19	20210607	21:39:47	PSL	6	DYNAFOR	LICOR_LAI2200	BELOW	19	3.14526	0.0341908	0.0347877	0.0643836	0.129349	0.149393	NA
PSL_6_MEAS13	20210607	21:40:13	PSL	6	DYNAFOR	LICOR_LAI2200	BELOW	13	2.70754	0.19765	0.157954	0.137514	0.0958484	0.0663784	NA
PSL_6_MEAS1	20210719	21:06:20	PSL	6	CEFE	LICOR_LAI2200	BELOW	1	3.21027	0.0455789	0.0488686	0.0567363	0.0903068	0.14642	NA
PSL_6_MEAS3	20210719	21:06:50	PSL	6	CEFE	LICOR_LAI2200	BELOW	3	3.09669	0.0997083	0.078193	0.0724322	0.106041	0.0671924	NA
PSL_6_MEAS5	20210719	21:07:18	PSL	6	CEFE	LICOR_LAI2200	BELOW	5	2.92741	0.102269	0.101991	0.118463	0.115677	0.0484813	NA
PSL_6_MEAS15	20210719	21:07:53	PSL	6	CEFE	LICOR_LAI2200	BELOW	15	2.71499	0.210224	0.137396	0.113287	0.101256	0.085228	NA
PSL_6_MEAS25	20210719	21:09:21	PSL	6	CEFE	LICOR_LAI2200	BELOW	25	3.03017	0.101315	0.125347	0.141414	0.0828631	0.0338077	NA
PSL_6_MEAS23	20210719	21:10:08	PSL	6	CEFE	LICOR_LAI2200	BELOW	23	1.7438	0.576634	0.315108	0.290339	0.244461	0.118843	NA
PSL_6_MEAS21	20210719	21:11:58	PSL	6	CEFE	LICOR_LAI2200	BELOW	21	0.805157	0.909354	0.773378	0.661815	0.477674	0.253066	NA
PSL_6_MEAS11	20210719	21:12:20	PSL	6	CEFE	LICOR_LAI2200	BELOW	11	2.57632	0.159381	0.158302	0.152774	0.105835	0.0912497	NA
PSL_6_MEAS9	20210719	21:12:54	PSL	6	CEFE	LICOR_LAI2200	BELOW	9	3.09871	0.186878	0.0843342	0.120498	0.0759063	0.0426295	NA
PSL_6_MEAS7	20210719	21:13:37	PSL	6	CEFE	LICOR_LAI2200	BELOW	7	3.80488	0.104794	0.0503817	0.0700298	0.0408318	0.0238242	NA
PSL_6_MEAS17	20210719	21:14:09	PSL	6	CEFE	LICOR_LAI2200	BELOW	17	3.16034	0.134314	0.118725	0.0952718	0.0675236	0.0422105	NA
PSL_6_MEAS19	20210719	21:14:33	PSL	6	CEFE	LICOR_LAI2200	BELOW	19	2.82326	0.0981391	0.0984701	0.100807	0.117813	0.0915172	NA
PSL_6_MEAS13	20210719	21:14:49	PSL	6	CEFE	LICOR_LAI2200	BELOW	13	3.15463	0.229187	0.160223	0.0830899	0.0639453	0.0349042	NA
PSL_6_MEAS1	20210830	20:37:09	PSL	6	DYNAFOR	LICOR_LAI2200	BELOW	1	2.5207	0.0770338	0.0774001	0.164715	0.166911	0.1381	NA
PSL_6_MEAS3	20210830	20:39:37	PSL	6	DYNAFOR	LICOR_LAI2200	BELOW	3	2.63845	0.107787	0.0965201	0.115997	0.159037	0.104262	NA
PSL_6_MEAS5	20210830	20:40:47	PSL	6	DYNAFOR	LICOR_LAI2200	BELOW	5	2.71021	0.107415	0.122167	0.118968	0.145553	0.068684	NA
PSL_6_MEAS15	20210830	20:41:21	PSL	6	DYNAFOR	LICOR_LAI2200	BELOW	15	2.81138	0.148211	0.160945	0.104367	0.098155	0.0647256	NA
