ID_LOC	SAMPLING_DATE	SAMPLING_TIME	SITE	SITE_PLOT	SPECIES	TREE	TREE_LEAF	TREE_LEAF_AGE	LEAFTRAIT_LAB	CHL_PROSPECT	CAR_PROSPECT	ANT_PROSPECT	EWT_PROSPECT	EWT_LAB	LMA_PROSPECT	LMA_LAB	PROT_PROSPECT	CBC_PROSPECT
PSL_22_QI_D4	20210512	11:09:28	PSL	22	QI	D4	L4	O	TETIS	54	15.5	4.683663451	0.0182	0.012909234	0.0235	0.0247	0.00144	0.02424
PSL_10_QI_D1	20210512	11:44:02	PSL	10	QI	D1	L1	O	TETIS	62.8	17.9	4.431397847	0.0184	0.014925197	0.0266	0.0226	0.00144	0.02016
PSL_10_QI_D1	20210512	11:47:08	PSL	10	QI	D1	L2	O	TETIS	97.8	16.3	3.673401393	0.0164	0.013864164	0.024	0.0207	0.00128	0.0176
PSL_10_QI_D1	20210512	11:47:15	PSL	10	QI	D1	L3	O	TETIS	73.1	15.6	6.349607544	0.0167	0.014147106	0.0235	0.0211	0.00117	0.02133
PSL_10_QI_D1	20210512	11:47:23	PSL	10	QI	D1	L4	O	TETIS	76	16.6	3.878979436	0.0171	0.014288577	0.0235	0.0211	0.00227	0.01721
PSL_10_QI_D2	20210512	12:08:46	PSL	10	QI	D2	L1	O	TETIS	77.2	12.8	3.662575571	0.0157	0.014677623	0.0281	0.0232	0.0032	0.01982
PSL_10_QI_D2	20210512	12:09:46	PSL	10	QI	D2	L2	O	TETIS	86	13.2	2.955770024	0.0156	0.014500784	0.0287	0.023	0.00229	0.02067
PSL_10_QI_D2	20210512	12:11:13	PSL	10	QI	D2	L3	O	TETIS	78.8	14.3	4.717956217	0.0173	0.014972354	0.027	0.024	0.00355	0.02432
PSL_10_QI_D2	20210512	12:13:36	PSL	10	QI	D2	L4	O	TETIS	85.3	14	2.767907737	0.0169	0.014217842	0.0292	0.0245	0.00304	0.02037
PSL_10_QI_D3	20210512	12:17:55	PSL	10	QI	D3	L1	O	TETIS	70.1	14.8	4.794619123	0.0155	0.012732395	0.0213	0.0184	0.00234	0.01702
PSL_10_QI_D3	20210512	12:19:38	PSL	10	QI	D3	L2	O	TETIS	67.2	14.9	3.065081885	0.0164	0.012580819	0.0248	0.0206	0.00129	0.0247
PSL_10_QI_D3	20210512	12:19:50	PSL	10	QI	D3	L3	O	TETIS	64.6	16.1	4.119091126	0.0172	0.012673449	0.026	0.0213	0.0038	0.02369
PSL_10_QI_D3	20210512	12:22:10	PSL	10	QI	D3	L4	O	TETIS	58.4	15.4	4.132578877	0.0157	0.012378718	0.024	0.02	0.00176	0.01829
PSL_10_QI_D4	20210512	12:32:14	PSL	10	QI	D4	L1	O	TETIS	72.8	13	1.795299239	NA	NA	NA	NA	0.00226	0.02158
PSL_10_QI_D4	20210512	12:32:35	PSL	10	QI	D4	L2	O	TETIS	81.3	13.2	3.06610003	0.0143	0.012142933	0.0219	0.0178	0.00074	0.0183
PSL_10_QI_D4	20210512	12:33:35	PSL	10	QI	D4	L3	O	TETIS	79.5	12.3	1.202121296	0.0145	0.011907148	0.0225	0.0182	0.00085	0.02051
PSL_10_QI_D4	20210512	12:34:44	PSL	10	QI	D4	L4	O	TETIS	70.1	11.9	3.159683455	0.0129	0.011435577	0.0211	0.0182	0.00188	0.01652
PSL_10_QI_D5	20210512	12:00:37	PSL	10	QI	D5	L1	Y	TETIS	16.6	6.2	1.091358181	NA	NA	NA	NA	0	0.00732
PSL_10_QI_D5	20210512	12:00:47	PSL	10	QI	D5	L2	Y	TETIS	17.4	6.3	1.247733009	0.0186	0.019664477	0.0083	0.0076	0.00054	0.00565
PSL_10_QI_D5	20210512	12:04:50	PSL	10	QI	D5	L3	Y	TETIS	17.2	6.4	1.227354456	NA	NA	NA	NA	0.00157	0.00429
